time,values,Mode,Median,37percentile,50percentile
8/12/2015 15:33,1,163,143,128,143
17/12/2015 14:19,2,,,,
17/12/2015 15:19,3,,,,
23/12/2015 14:02,4,,,,
23/12/2015 14:38,5,,,,
23/12/2015 16:20,6,,,,
23/12/2015 17:13,7,,,,
23/12/2015 17:21,8,,,,
24/12/2015 15:54,9,,,,
26/12/2015 14:29,10,,,,
26/12/2015 15:33,11,,,,
26/12/2015 18:36,12,,,,
26/12/2015 18:50,13,,,,
26/12/2015 21:32,14,,,,
27/12/2015 14:31,15,,,,
27/12/2015 15:55,16,,,,
27/12/2015 16:37,17,,,,
27/12/2015 16:58,18,,,,
28/12/2015 14:17,19,,,,
28/12/2015 15:34,20,,,,
28/12/2015 15:52,21,,,,
28/12/2015 16:19,22,,,,
28/12/2015 16:30,23,,,,
28/12/2015 16:52,24,,,,
28/12/2015 17:00,25,,,,
28/12/2015 17:27,26,,,,
29/12/2015 14:26,27,,,,
29/12/2015 14:51,28,,,,
29/12/2015 14:54,29,,,,
29/12/2015 15:31,30,,,,
29/12/2015 15:51,31,,,,
29/12/2015 15:52,32,,,,
29/12/2015 15:57,33,,,,
29/12/2015 16:17,34,,,,
29/12/2015 16:19,35,,,,
29/12/2015 16:30,36,,,,
29/12/2015 17:09,37,,,,
29/12/2015 18:00,38,,,,
29/12/2015 18:28,39,,,,
29/12/2015 18:44,40,,,,
29/12/2015 19:07,41,,,,
30/12/2015 14:01,42,,,,
30/12/2015 14:02,43,,,,
30/12/2015 14:04,44,,,,
30/12/2015 14:07,45,,,,
30/12/2015 14:08,46,,,,
30/12/2015 14:09,47,,,,
30/12/2015 14:10,48,,,,
30/12/2015 14:12,49,,,,
30/12/2015 14:18,50,,,,
30/12/2015 14:23,51,,,,
30/12/2015 14:24,52,,,,
30/12/2015 14:25,53,,,,
30/12/2015 14:27,54,,,,
30/12/2015 14:29,55,,,,
30/12/2015 14:33,56,,,,
30/12/2015 14:36,57,,,,
30/12/2015 14:39,60,,,,
30/12/2015 14:40,61,,,,
30/12/2015 14:43,62,,,,
30/12/2015 14:44,63,,,,
30/12/2015 14:45,64,,,,
30/12/2015 14:46,65,,,,
30/12/2015 14:50,66,,,,
30/12/2015 14:52,67,,,,
30/12/2015 14:58,68,,,,
30/12/2015 15:06,69,,,,
30/12/2015 15:09,70,,,,
30/12/2015 15:16,71,,,,
30/12/2015 15:18,73,,,,
30/12/2015 15:19,74,,,,
30/12/2015 15:20,75,,,,
30/12/2015 15:22,77,,,,
30/12/2015 15:23,78,,,,
30/12/2015 15:25,79,,,,
30/12/2015 15:27,81,,,,
30/12/2015 15:30,82,,,,
30/12/2015 15:32,83,,,,
30/12/2015 15:33,85,,,,
30/12/2015 15:37,86,,,,
30/12/2015 15:39,87,,,,
30/12/2015 15:42,89,,,,
30/12/2015 15:47,90,,,,
30/12/2015 15:48,91,,,,
30/12/2015 15:53,92,,,,
30/12/2015 15:56,93,,,,
30/12/2015 15:57,94,,,,
30/12/2015 16:00,95,,,,
30/12/2015 16:02,96,,,,
30/12/2015 16:05,98,,,,
30/12/2015 16:07,99,,,,
30/12/2015 16:13,100,,,,
30/12/2015 16:14,101,,,,
30/12/2015 16:18,102,,,,
30/12/2015 16:25,103,,,,
30/12/2015 16:27,104,,,,
30/12/2015 16:31,105,,,,
30/12/2015 16:36,106,,,,
30/12/2015 16:43,107,,,,
30/12/2015 16:48,108,,,,
30/12/2015 16:53,109,,,,
30/12/2015 16:59,110,,,,
30/12/2015 17:00,111,,,,
30/12/2015 17:02,113,,,,
30/12/2015 17:07,114,,,,
30/12/2015 17:14,115,,,,
30/12/2015 17:16,116,,,,
30/12/2015 17:29,117,,,,
30/12/2015 17:38,118,,,,
30/12/2015 17:41,119,,,,
30/12/2015 17:42,120,,,,
30/12/2015 17:49,122,,,,
30/12/2015 17:51,123,,,,
30/12/2015 17:53,124,,,,
30/12/2015 17:57,125,,,,
30/12/2015 18:01,126,,,,
30/12/2015 18:02,127,,,,
30/12/2015 18:03,128,,,,
30/12/2015 18:06,129,,,,
30/12/2015 18:16,130,,,,
30/12/2015 18:23,131,,,,
30/12/2015 18:30,133,,,,
30/12/2015 18:33,134,,,,
30/12/2015 18:37,135,,,,
30/12/2015 18:48,136,,,,
30/12/2015 18:49,137,,,,
30/12/2015 18:50,138,,,,
30/12/2015 18:54,139,,,,
30/12/2015 19:27,140,,,,
30/12/2015 19:30,141,,,,
30/12/2015 19:38,142,,,,
30/12/2015 20:07,143,,,,
30/12/2015 20:09,144,,,,
30/12/2015 20:34,145,,,,
30/12/2015 21:34,146,,,,
31/12/2015 14:02,147,,,,
31/12/2015 14:04,149,,,,
31/12/2015 14:11,150,,,,
31/12/2015 14:12,151,,,,
31/12/2015 14:14,152,,,,
31/12/2015 14:23,153,,,,
31/12/2015 14:24,154,,,,
31/12/2015 14:31,155,,,,
31/12/2015 14:44,156,,,,
31/12/2015 14:58,157,,,,
31/12/2015 15:10,158,,,,
31/12/2015 15:16,159,,,,
31/12/2015 15:45,160,,,,
31/12/2015 15:48,161,,,,
31/12/2015 15:55,162,,,,
31/12/2015 16:01,163,,,,
31/12/2015 16:03,164,,,,
31/12/2015 16:17,165,,,,
31/12/2015 16:20,166,,,,
31/12/2015 16:23,167,,,,
31/12/2015 16:25,168,,,,
31/12/2015 16:26,169,,,,
31/12/2015 16:35,170,,,,
31/12/2015 16:40,171,,,,
31/12/2015 17:28,172,,,,
31/12/2015 17:53,173,,,,
31/12/2015 18:00,174,,,,
31/12/2015 18:06,175,,,,
31/12/2015 18:11,176,,,,
31/12/2015 18:40,177,,,,
31/12/2015 19:05,178,,,,
31/12/2015 19:35,179,,,,
1/01/2016 7:42,178,,,,
