time,values,Mode,Median,50percentile,37percentile
59:49.7,1,7,8,8,7
59:50.2,2,,,,
59:50.5,3,,,,
59:51.7,4,,,,
59:52.3,5,,,,
59:53.9,6,,,,
59:56.0,7,,,,
59:57.6,8,,,,
59:59.0,9,,,,
00:00.2,10,,,,
00:00.8,9,,,,
00:02.5,10,,,,
00:02.7,9,,,,
00:02.9,10,,,,
00:04.3,9,,,,
00:04.6,8,,,,
00:04.7,9,,,,
00:06.0,8,,,,
00:06.1,7,,,,
00:07.6,8,,,,
00:07.7,7,,,,
00:08.0,6,,,,
00:08.6,5,,,,
00:10.2,6,,,,
00:10.2,7,,,,
00:10.4,8,,,,
00:10.5,9,,,,
00:12.8,10,,,,
00:13.6,11,,,,
00:13.8,12,,,,
00:14.3,11,,,,
00:16.1,12,,,,
00:16.6,11,,,,
00:17.2,10,,,,
00:17.7,11,,,,
00:17.8,10,,,,
00:18.3,11,,,,
00:19.6,10,,,,
00:19.8,9,,,,
00:20.4,10,,,,
00:20.5,9,,,,
00:21.8,8,,,,
00:22.1,7,,,,
00:22.1,8,,,,
00:22.2,9,,,,
00:22.6,8,,,,
00:22.6,9,,,,
00:23.0,8,,,,
00:23.8,9,,,,
00:24.2,10,,,,
00:24.4,9,,,,
00:26.8,10,,,,
00:28.0,9,,,,
00:28.2,10,,,,
00:28.2,9,,,,
00:29.0,10,,,,
00:29.0,11,,,,
00:29.5,10,,,,
00:29.8,11,,,,
00:30.3,10,,,,
00:31.8,11,,,,
00:32.8,10,,,,
00:33.1,9,,,,
00:35.1,8,,,,
00:36.0,9,,,,
00:36.0,8,,,,
00:36.1,9,,,,
00:37.0,8,,,,
00:37.3,7,,,,
00:37.4,6,,,,
00:37.5,5,,,,
00:37.5,4,,,,
00:38.2,5,,,,
00:38.5,4,,,,
00:38.6,5,,,,
00:41.1,4,,,,
00:42.5,5,,,,
00:44.6,4,,,,
00:45.5,5,,,,
00:47.3,4,,,,
00:48.0,5,,,,
00:48.1,4,,,,
00:48.8,3,,,,
00:49.2,4,,,,
00:49.4,5,,,,
00:49.6,6,,,,
00:50.4,7,,,,
00:50.5,8,,,,
00:50.9,9,,,,
00:52.5,10,,,,
00:53.5,11,,,,
00:53.6,10,,,,
00:55.1,9,,,,
00:56.4,8,,,,
00:56.5,7,,,,
00:56.8,8,,,,
00:59.3,7,,,,
00:59.6,6,,,,
00:59.6,5,,,,
01:00.2,6,,,,
01:00.7,7,,,,
01:03.1,8,,,,
01:03.4,9,,,,
01:03.5,8,,,,
01:03.9,7,,,,
01:04.2,6,,,,
01:06.4,5,,,,
01:06.4,6,,,,
01:06.7,7,,,,
01:07.0,8,,,,
01:07.7,9,,,,
01:08.3,8,,,,
01:08.6,9,,,,
01:09.9,8,,,,
01:10.1,9,,,,
01:11.2,8,,,,
01:11.8,7,,,,
01:12.4,8,,,,
01:13.1,7,,,,
01:13.3,8,,,,
01:13.5,7,,,,
01:14.8,6,,,,
01:17.4,5,,,,
01:18.4,4,,,,
01:18.9,5,,,,
01:19.0,4,,,,
01:19.7,3,,,,
01:20.1,4,,,,
01:20.5,3,,,,
01:20.7,4,,,,
01:22.1,3,,,,
01:22.2,4,,,,
01:22.4,5,,,,
01:31.2,4,,,,
01:31.7,3,,,,
01:32.3,2,,,,
01:33.1,3,,,,
01:33.8,2,,,,
01:33.8,3,,,,
01:34.2,4,,,,
01:34.7,5,,,,
01:36.9,6,,,,
01:37.5,7,,,,
01:41.4,6,,,,
01:42.3,7,,,,
01:42.7,6,,,,
01:42.9,7,,,,
01:43.5,8,,,,
01:44.2,9,,,,
01:44.7,10,,,,
01:44.8,9,,,,
01:45.2,10,,,,
01:45.8,9,,,,
01:45.9,10,,,,
01:47.8,9,,,,
01:48.3,8,,,,
01:48.4,9,,,,
01:48.8,8,,,,
01:49.7,7,,,,
01:51.3,8,,,,
01:51.5,9,,,,
01:52.0,8,,,,
01:52.7,9,,,,
01:52.8,8,,,,
01:56.2,9,,,,
01:56.2,8,,,,
01:56.3,9,,,,
01:56.4,10,,,,
