start,end,value
,2020-01-01 04:40:00,10
2020-01-01 04:40:00,2020-01-01 09:35:00,9
2020-01-01 09:35:00,2020-01-01 11:47:00,10
2020-01-01 11:47:00,2020-01-01 17:29:00,9
2020-01-01 17:29:00,2020-01-01 20:47:00,10
2020-01-01 20:47:00,2020-01-01 21:23:00,11
2020-01-01 21:23:00,2020-01-01 22:18:00,12
2020-01-01 22:18:00,2020-01-01 22:39:00,11
2020-01-01 22:39:00,2020-01-02 00:53:00,10
2020-01-02 00:53:00,2020-01-02 04:41:00,11
2020-01-02 04:41:00,2020-01-02 08:35:00,10
2020-01-02 08:35:00,2020-01-02 10:12:00,11
2020-01-02 10:12:00,2020-01-02 19:57:00,10
2020-01-02 19:57:00,2020-01-03 04:42:00,9
2020-01-03 04:42:00,2020-01-03 11:03:00,8
2020-01-03 11:03:00,2020-01-03 11:34:00,7
2020-01-03 11:34:00,2020-01-03 12:07:00,6
2020-01-03 12:07:00,2020-01-03 13:29:00,5
2020-01-03 13:29:00,2020-01-03 14:11:00,6
2020-01-03 14:11:00,2020-01-04 04:43:00,7
2020-01-04 04:43:00,2020-01-04 08:58:00,6
2020-01-04 08:58:00,2020-01-04 11:36:00,5
2020-01-04 11:36:00,2020-01-04 17:47:00,4
2020-01-04 17:47:00,2020-01-05 00:20:00,5
2020-01-05 00:20:00,2020-01-05 02:23:00,4
2020-01-05 02:23:00,2020-01-05 04:44:00,5
2020-01-05 04:44:00,2020-01-05 07:35:00,4
2020-01-05 07:35:00,2020-01-05 10:17:00,6
2020-01-05 10:17:00,2020-01-05 10:53:00,7
2020-01-05 10:53:00,2020-01-05 12:31:00,8
2020-01-05 12:31:00,2020-01-05 12:51:00,7
2020-01-05 12:51:00,2020-01-05 15:12:00,6
2020-01-05 15:12:00,2020-01-06 00:29:00,5
2020-01-06 00:29:00,2020-01-06 01:11:00,6
2020-01-06 01:11:00,2020-01-06 01:17:00,5
2020-01-06 01:17:00,2020-01-06 04:45:00,6
2020-01-06 04:45:00,2020-01-06 05:35:00,5
2020-01-06 05:35:00,2020-01-06 11:11:00,6
2020-01-06 11:11:00,2020-01-06 13:15:00,7
2020-01-06 13:15:00,2020-01-06 16:35:00,6
2020-01-06 16:35:00,2020-01-06 17:23:00,7
2020-01-06 17:23:00,2020-01-06 19:00:00,8
2020-01-06 19:00:00,2020-01-07 01:17:00,7
2020-01-07 01:17:00,2020-01-07 02:20:00,8
2020-01-07 02:20:00,2020-01-07 03:17:00,7
2020-01-07 03:17:00,2020-01-07 04:46:00,8
2020-01-07 04:46:00,2020-01-07 06:41:00,7
2020-01-07 06:41:00,2020-01-07 07:06:00,8
2020-01-07 07:06:00,2020-01-07 14:05:00,7
2020-01-07 14:05:00,2020-01-07 16:01:00,8
2020-01-07 16:01:00,2020-01-08 02:35:00,7
2020-01-08 02:35:00,2020-01-08 03:13:00,8
2020-01-08 03:13:00,2020-01-08 09:19:00,7
2020-01-08 09:19:00,2020-01-08 13:53:00,6
2020-01-08 13:53:00,2020-01-08 15:43:00,7
2020-01-08 15:43:00,2020-01-08 16:16:00,6
2020-01-08 16:16:00,2020-01-08 23:06:00,5
2020-01-08 23:06:00,2020-01-09 01:29:00,4
2020-01-09 01:29:00,2020-01-09 03:35:00,5
2020-01-09 03:35:00,2020-01-09 08:11:00,6
2020-01-09 08:11:00,2020-01-09 09:23:00,7
2020-01-09 09:23:00,2020-01-09 10:41:00,6
2020-01-09 10:41:00,2020-01-09 11:47:00,7
2020-01-09 11:47:00,2020-01-09 13:47:00,8
2020-01-09 13:47:00,2020-01-09 15:40:00,9
2020-01-09 15:40:00,2020-01-09 18:04:00,8
2020-01-09 18:04:00,2020-01-10 05:53:00,7
2020-01-10 05:53:00,2020-01-10 08:59:00,8
2020-01-10 08:59:00,2020-01-10 12:41:00,9
2020-01-10 12:41:00,2020-01-10 17:29:00,10
2020-01-10 17:29:00,2020-01-10 18:16:00,11
2020-01-10 18:16:00,2020-01-10 18:49:00,10
2020-01-10 18:49:00,2020-01-10 19:05:00,9
2020-01-10 19:05:00,2020-01-10 22:41:00,10
2020-01-10 22:41:00,2020-01-10 22:50:00,11
2020-01-10 22:50:00,2020-01-11 02:17:00,10
2020-01-11 02:17:00,2020-01-11 04:49:00,11
2020-01-11 04:49:00,2020-01-11 17:21:00,10
2020-01-11 17:21:00,2020-01-11 20:08:00,9
2020-01-11 20:08:00,2020-01-11 20:41:00,8
2020-01-11 20:41:00,2020-01-12 03:05:00,7
2020-01-12 03:05:00,2020-01-12 11:11:00,8
2020-01-12 11:11:00,2020-01-12 13:53:00,9
2020-01-12 13:53:00,2020-01-12 20:20:00,10
2020-01-12 20:20:00,2020-01-12 20:41:00,9
2020-01-12 20:41:00,2020-01-12 21:14:00,8
2020-01-12 21:14:00,2020-01-12 23:29:00,7
2020-01-12 23:29:00,2020-01-13 04:40:00,8
2020-01-13 04:40:00,2020-01-13 11:17:00,7
2020-01-13 11:17:00,2020-01-13 14:59:00,8
2020-01-13 14:59:00,2020-01-13 17:09:00,7
2020-01-13 17:09:00,2020-01-13 19:05:00,6
2020-01-13 19:05:00,2020-01-13 19:11:00,7
2020-01-13 19:11:00,2020-01-13 20:29:00,8
2020-01-13 20:29:00,2020-01-13 20:49:00,9
2020-01-13 20:49:00,2020-01-14 01:53:00,8
2020-01-14 01:53:00,2020-01-14 02:17:00,9
2020-01-14 02:17:00,2020-01-14 04:52:00,10
2020-01-14 04:52:00,2020-01-14 07:41:00,9
2020-01-14 07:41:00,2020-01-14 08:11:00,10
2020-01-14 08:11:00,2020-01-14 08:53:00,11
2020-01-14 08:53:00,2020-01-14 11:01:00,12
2020-01-14 11:01:00,2020-01-14 16:41:00,11
2020-01-14 16:41:00,2020-01-14 21:23:00,12
2020-01-14 21:23:00,2020-01-14 21:44:00,13
2020-01-14 21:44:00,2020-01-15 03:35:00,12
2020-01-15 03:35:00,2020-01-15 04:17:00,13
2020-01-15 04:17:00,2020-01-15 04:53:00,14
2020-01-15 04:53:00,2020-01-15 09:41:00,13
2020-01-15 09:41:00,2020-01-15 12:10:00,12
2020-01-15 12:10:00,2020-01-15 12:40:00,11
2020-01-15 12:40:00,2020-01-15 14:23:00,10
2020-01-15 14:23:00,2020-01-16 05:11:00,11
2020-01-16 05:11:00,2020-01-16 09:41:00,12
2020-01-16 09:41:00,2020-01-16 10:30:00,13
2020-01-16 10:30:00,2020-01-16 10:53:00,12
2020-01-16 10:53:00,2020-01-16 15:29:00,11
2020-01-16 15:29:00,2020-01-16 18:47:00,12
2020-01-16 18:47:00,2020-01-17 01:47:00,13
2020-01-17 01:47:00,2020-01-17 02:11:00,14
2020-01-17 02:11:00,2020-01-17 05:41:00,15
2020-01-17 05:41:00,2020-01-17 11:08:00,16
2020-01-17 11:08:00,2020-01-17 11:41:00,15
2020-01-17 11:41:00,2020-01-17 12:17:00,14
2020-01-17 12:17:00,2020-01-17 14:23:00,15
2020-01-17 14:23:00,2020-01-17 14:37:00,16
2020-01-17 14:37:00,2020-01-17 14:41:00,15
2020-01-17 14:41:00,2020-01-17 14:53:00,16
2020-01-17 14:53:00,2020-01-17 17:04:00,18
2020-01-17 17:04:00,2020-01-17 18:11:00,17
2020-01-17 18:11:00,2020-01-17 23:38:00,18
2020-01-17 23:38:00,2020-01-18 00:59:00,17
2020-01-18 00:59:00,2020-01-18 05:04:00,18
2020-01-18 05:04:00,2020-01-18 05:29:00,17
2020-01-18 05:29:00,2020-01-18 05:59:00,18
2020-01-18 05:59:00,2020-01-18 11:36:00,19
2020-01-18 11:36:00,2020-01-18 14:52:00,18
2020-01-18 14:52:00,2020-01-19 00:28:00,17
2020-01-19 00:28:00,2020-01-19 03:13:00,16
2020-01-19 03:13:00,2020-01-19 04:57:00,15
2020-01-19 04:57:00,2020-01-19 11:27:00,14
2020-01-19 11:27:00,2020-01-19 13:37:00,13
2020-01-19 13:37:00,2020-01-20 00:25:00,12
2020-01-20 00:25:00,2020-01-20 02:50:00,11
2020-01-20 02:50:00,2020-01-20 09:33:00,10
2020-01-20 09:33:00,2020-01-20 13:29:00,9
2020-01-20 13:29:00,2020-01-20 13:53:00,8
2020-01-20 13:53:00,2020-01-20 15:39:00,9
2020-01-20 15:39:00,2020-01-21 02:05:00,8
2020-01-21 02:05:00,2020-01-21 04:29:00,7
2020-01-21 04:29:00,2020-01-21 12:47:00,8
2020-01-21 12:47:00,2020-01-21 13:51:00,9
2020-01-21 13:51:00,2020-01-21 14:24:00,8
2020-01-21 14:24:00,2020-01-21 16:34:00,7
2020-01-21 16:34:00,2020-01-21 19:48:00,6
2020-01-21 19:48:00,2020-01-21 21:05:00,5
2020-01-21 21:05:00,2020-01-22 05:00:00,6
2020-01-22 05:00:00,2020-01-22 07:29:00,5
2020-01-22 07:29:00,2020-01-22 07:44:00,6
2020-01-22 07:44:00,2020-01-22 14:45:00,5
2020-01-22 14:45:00,2020-01-22 15:15:00,4
2020-01-22 15:15:00,2020-01-23 01:17:00,3
2020-01-23 01:17:00,2020-01-23 04:29:00,4
2020-01-23 04:29:00,2020-01-23 10:17:00,3
2020-01-23 10:17:00,2020-01-23 16:12:00,4
2020-01-23 16:12:00,2020-01-23 16:42:00,3
2020-01-23 16:42:00,2020-01-23 22:59:00,2
2020-01-23 22:59:00,2020-01-24 03:59:00,3
2020-01-24 03:59:00,2020-01-24 05:02:00,4
2020-01-24 05:02:00,2020-01-24 17:16:00,3
2020-01-24 17:16:00,2020-01-24 19:05:00,2
2020-01-24 19:05:00,2020-01-24 23:41:00,3
2020-01-24 23:41:00,2020-01-25 01:17:00,4
2020-01-25 01:17:00,2020-01-25 03:29:00,5
2020-01-25 03:29:00,2020-01-25 05:44:00,6
2020-01-25 05:44:00,2020-01-25 06:15:00,5
2020-01-25 06:15:00,2020-01-25 08:59:00,4
2020-01-25 08:59:00,2020-01-25 11:47:00,5
2020-01-25 11:47:00,2020-01-25 12:05:00,6
2020-01-25 12:05:00,2020-01-25 14:37:00,7
2020-01-25 14:37:00,2020-01-25 14:53:00,6
2020-01-25 14:53:00,2020-01-26 06:26:00,7
2020-01-26 06:26:00,2020-01-26 14:05:00,6
2020-01-26 14:05:00,2020-01-26 19:13:00,5
2020-01-26 19:13:00,2020-01-26 19:33:00,4
2020-01-26 19:33:00,2020-01-26 20:47:00,3
2020-01-26 20:47:00,2020-01-26 22:17:00,4
2020-01-26 22:17:00,2020-01-26 22:35:00,5
2020-01-26 22:35:00,2020-01-27 01:11:00,6
2020-01-27 01:11:00,2020-01-27 03:53:00,7
2020-01-27 03:53:00,2020-01-27 07:10:00,8
2020-01-27 07:10:00,2020-01-27 07:47:00,7
2020-01-27 07:47:00,2020-01-27 20:03:00,8
2020-01-27 20:03:00,2020-01-27 20:36:00,7
2020-01-27 20:36:00,2020-01-28 01:53:00,6
2020-01-28 01:53:00,2020-01-28 05:06:00,7
2020-01-28 05:06:00,2020-01-28 07:51:00,6
2020-01-28 07:51:00,2020-01-28 13:23:00,5
2020-01-28 13:23:00,2020-01-28 14:05:00,6
2020-01-28 14:05:00,2020-01-28 17:41:00,7
2020-01-28 17:41:00,2020-01-28 20:29:00,6
2020-01-28 20:29:00,2020-01-28 20:34:00,7
2020-01-28 20:34:00,2020-01-28 20:57:00,6
2020-01-28 20:57:00,2020-01-29 06:35:00,5
2020-01-29 06:35:00,2020-01-29 07:17:00,6
2020-01-29 07:17:00,2020-01-29 09:59:00,7
2020-01-29 09:59:00,2020-01-29 10:33:00,8
2020-01-29 10:33:00,2020-01-29 22:05:00,7
2020-01-29 22:05:00,2020-01-30 00:21:00,8
2020-01-30 00:21:00,2020-01-30 02:47:00,7
2020-01-30 02:47:00,2020-01-30 05:08:00,8
2020-01-30 05:08:00,2020-01-30 10:53:00,7
2020-01-30 10:53:00,2020-01-30 16:41:00,8
2020-01-30 16:41:00,2020-01-30 21:53:00,9
2020-01-30 21:53:00,2020-01-31 05:09:00,8
2020-01-31 05:09:00,2020-01-31 09:54:00,7
2020-01-31 09:54:00,2020-01-31 11:41:00,6
2020-01-31 11:41:00,2020-01-31 11:59:00,7
2020-01-31 11:59:00,2020-01-31 12:14:00,8
2020-01-31 12:14:00,2020-01-31 12:53:00,7
2020-01-31 12:53:00,2020-01-31 17:47:00,8
2020-01-31 17:47:00,2020-01-31 18:02:00,9
2020-01-31 18:02:00,2020-01-31 20:22:00,8
2020-01-31 20:22:00,2020-01-31 22:53:00,7
2020-01-31 22:53:00,2020-02-01 10:37:00,8
2020-02-01 10:37:00,2020-02-01 20:59:00,7
2020-02-01 20:59:00,2020-02-01 21:17:00,9
2020-02-01 21:17:00,2020-02-01 23:18:00,10
2020-02-01 23:18:00,2020-02-02 05:11:00,9
2020-02-02 05:11:00,2020-02-02 05:42:00,9
2020-02-02 05:42:00,2020-02-02 11:23:00,8
2020-02-02 11:23:00,2020-02-02 19:53:00,7
